region,city,subdistrict,postcode
Metro Manila,Manila City (Tondo),Barangay 146,1012
Metro Manila,Manila City (Tondo),Barangay 147,1012
Metro Manila,Manila City (Tondo),Barangay 148,1012
Metro Manila,Manila City (Tondo),Barangay 149,1012
Metro Manila,Manila City (Tondo),Barangay 150,1012
Metro Manila,Manila City (Tondo),Barangay 151,1012
Metro Manila,Manila City (Tondo),Barangay 152,1012
Metro Manila,Manila City (Tondo),Barangay 153,1012
Metro Manila,Manila City (Tondo),Barangay 154,1012
Metro Manila,Manila City (Tondo),Barangay 155,1012
Metro Manila,Manila City (Tondo),Barangay 156,1012
Metro Manila,Manila City (Tondo),Barangay 157,1012
Metro Manila,Manila City (Tondo),Barangay 158,1012
Metro Manila,Manila City (Tondo),Barangay 159,1012
Metro Manila,Manila City (Tondo),Barangay 160,1012
Metro Manila,Manila City (Tondo),Barangay 161,1012
Metro Manila,Manila City (Tondo),Barangay 162,1012
Metro Manila,Manila City (Tondo),Barangay 163,1012
Metro Manila,Manila City (Tondo),Barangay 164,1012
Metro Manila,Manila City (Tondo),Barangay 165,1012
Metro Manila,Manila City (Tondo),Barangay 166,1012
Metro Manila,Manila City (Tondo),Barangay 167,1012
Metro Manila,Manila City (Tondo),Barangay 168,1012
Metro Manila,Manila City (Tondo),Barangay 169,1012
Metro Manila,Manila City (Tondo),Barangay 170,1012
Metro Manila,Manila City (Tondo),Barangay 171,1012
Metro Manila,Manila City (Tondo),Barangay 172,1012
Metro Manila,Manila City (Tondo),Barangay 173,1012
Metro Manila,Manila City (Tondo),Barangay 174,1012
Metro Manila,Manila City (Tondo),Barangay 175,1012
Metro Manila,Manila City (Tondo),Barangay 176,1012
Metro Manila,Manila City (Tondo),Barangay 177,1012
Metro Manila,Manila City (Tondo),Barangay 178,1012
Metro Manila,Manila City (Tondo),Barangay 179,1012
Metro Manila,Manila City (Tondo),Barangay 180,1012
Metro Manila,Manila City (Tondo),Barangay 181,1012
Metro Manila,Manila City (Tondo),Barangay 182,1012
Metro Manila,Manila City (Tondo),Barangay 183,1012
Metro Manila,Manila City (Tondo),Barangay 184,1012
Metro Manila,Manila City (Tondo),Barangay 185,1012
Metro Manila,Manila City (Tondo),Barangay 186,1012
Metro Manila,Manila City (Tondo),Barangay 187,1012
Metro Manila,Manila City (Tondo),Barangay 188,1012
Metro Manila,Manila City (Tondo),Barangay 189,1012
Metro Manila,Manila City (Tondo),Barangay 190,1012
Metro Manila,Manila City (Tondo),Barangay 191,1012
Metro Manila,Manila City (Tondo),Barangay 192,1012
Metro Manila,Manila City (Tondo),Barangay 193,1012
Metro Manila,Manila City (Tondo),Barangay 194,1012
Metro Manila,Manila City (Tondo),Barangay 195,1012
Metro Manila,Manila City (Tondo),Barangay 196,1012
Metro Manila,Manila City (Tondo),Barangay 197,1012
Metro Manila,Manila City (Tondo),Barangay 198,1012
Metro Manila,Manila City (Tondo),Barangay 199,1012
Metro Manila,Manila City (Tondo),Barangay 200,1012
Metro Manila,Manila City (Tondo),Barangay 201,1012
Metro Manila,Manila City (Tondo),Barangay 202,1012
Metro Manila,Manila City (Tondo),Barangay 202-A,1012
Metro Manila,Manila City (Tondo),Barangay 203,1012
Metro Manila,Manila City (Tondo),Barangay 204,1012
Metro Manila,Manila City (Tondo),Barangay 205,1012
Metro Manila,Manila City (Tondo),Barangay 206,1012
Metro Manila,Manila City (Tondo),Barangay 207,1012
Metro Manila,Manila City (Tondo),Barangay 208,1012
Metro Manila,Manila City (Tondo),Barangay 209,1012
Metro Manila,Manila City (Tondo),Barangay 210,1012
Metro Manila,Manila City (Tondo),Barangay 211,1012
Metro Manila,Manila City (Tondo),Barangay 212,1012
Metro Manila,Manila City (Tondo),Barangay 213,1012
Metro Manila,Manila City (Tondo),Barangay 214,1012
Metro Manila,Manila City (Tondo),Barangay 215,1012
Metro Manila,Manila City (Tondo),Barangay 216,1012
Metro Manila,Manila City (Tondo),Barangay 217,1012
Metro Manila,Manila City (Tondo),Barangay 218,1012
Metro Manila,Manila City (Tondo),Barangay 219,1012
Metro Manila,Manila City (Tondo),Barangay 220,1012
Metro Manila,Manila City (Tondo),Barangay 221,1012
Metro Manila,Manila City (Tondo),Barangay 222,1012
Metro Manila,Manila City (Tondo),Barangay 223,1012
Metro Manila,Manila City (Tondo),Barangay 224,1012
Metro Manila,Manila City (Tondo),Barangay 225,1012
Metro Manila,Manila City (Tondo),Barangay 226,1012
Metro Manila,Manila City (Tondo),Barangay 227,1012
Metro Manila,Manila City (Tondo),Barangay 228,1012
Metro Manila,Manila City (Tondo),Barangay 229,1012
Metro Manila,Manila City (Tondo),Barangay 230,1012
Metro Manila,Manila City (Tondo),Barangay 231,1012
Metro Manila,Manila City (Tondo),Barangay 232,1012
Metro Manila,Manila City (Tondo),Barangay 233,1012
Metro Manila,Manila City (Tondo),Barangay 234,1012
Metro Manila,Manila City (Tondo),Barangay 235,1012
Metro Manila,Manila City (Tondo),Barangay 236,1012
Metro Manila,Manila City (Tondo),Barangay 237,1012
Metro Manila,Manila City (Tondo),Barangay 238,1012
Metro Manila,Manila City (Tondo),Barangay 239,1012
Metro Manila,Manila City (Tondo),Barangay 240,1012
Metro Manila,Manila City (Tondo),Barangay 241,1012
Metro Manila,Manila City (Tondo),Barangay 242,1012
Metro Manila,Manila City (Tondo),Barangay 243,1012
Metro Manila,Manila City (Tondo),Barangay 244,1012
Metro Manila,Manila City (Tondo),Barangay 245,1012
Metro Manila,Manila City (Tondo),Barangay 246,1012
Metro Manila,Manila City (Tondo),Barangay 247,1012
Metro Manila,Manila City (Tondo),Barangay 248,1012
Metro Manila,Manila City (Tondo),Barangay 249,1012
Metro Manila,Manila City (Tondo),Barangay 250,1012
Metro Manila,Manila City (Tondo),Barangay 251,1012
Metro Manila,Manila City (Tondo),Barangay 252,1012
Metro Manila,Manila City (Tondo),Barangay 253,1012
Metro Manila,Manila City (Tondo),Barangay 254,1012
Metro Manila,Manila City (Tondo),Barangay 255,1012
Metro Manila,Manila City (Tondo),Barangay 256,1012
Metro Manila,Manila City (Tondo),Barangay 257,1012
Metro Manila,Manila City (Tondo),Barangay 258,1012
Metro Manila,Manila City (Tondo),Barangay 259,1012
Metro Manila,Manila City (Tondo),Barangay 260,1012
Metro Manila,Manila City (Tondo),Barangay 261,1012
Metro Manila,Manila City (Tondo),Barangay 262,1012
Metro Manila,Manila City (Tondo),Barangay 263,1012
Metro Manila,Manila City (Tondo),Barangay 264,1012
Metro Manila,Manila City (Tondo),Barangay 265,1012
Metro Manila,Manila City (Tondo),Barangay 266,1012
Metro Manila,Manila City (Tondo),Barangay 267,1012
Metro Manila,Manila City (Binondo),Barangay 287,1006
Metro Manila,Manila City (Binondo),Barangay 288,1006
Metro Manila,Manila City (Binondo),Barangay 289,1006
Metro Manila,Manila City (Binondo),Barangay 290,1006
Metro Manila,Manila City (Binondo),Barangay 291,1006
Metro Manila,Manila City (Binondo),Barangay 292,1006
Metro Manila,Manila City (Binondo),Barangay 293,1006
Metro Manila,Manila City (Binondo),Barangay 294,1006
Metro Manila,Manila City (Binondo),Barangay 295,1006
Metro Manila,Manila City (Binondo),Barangay 296,1006
Metro Manila,Manila City (Quiapo),Barangay 383,1001
Metro Manila,Manila City (Quiapo),Barangay 384,1001
Metro Manila,Manila City (Quiapo),Barangay 385,1001
Metro Manila,Manila City (Quiapo),Barangay 386,1001
Metro Manila,Manila City (Quiapo),Barangay 387,1001
Metro Manila,Manila City (Quiapo),Barangay 388,1001
Metro Manila,Manila City (Quiapo),Barangay 389,1001
Metro Manila,Manila City (Quiapo),Barangay 390,1001
Metro Manila,Manila City (Quiapo),Barangay 391,1001
Metro Manila,Manila City (Quiapo),Barangay 392,1001
Metro Manila,Manila City (Quiapo),Barangay 393,1001
Metro Manila,Manila City (Quiapo),Barangay 394,1001
Metro Manila,Manila City (Quiapo),Barangay 306,1001
Metro Manila,Manila City (Quiapo),Barangay 307,1001
Metro Manila,Manila City (Quiapo),Barangay 308,1001
Metro Manila,Manila City (Quiapo),Barangay 309,1001
Metro Manila,Manila City (San Nicolas),Barangay 268,1010
Metro Manila,Manila City (San Nicolas),Barangay 269,1010
Metro Manila,Manila City (San Nicolas),Barangay 270,1010
Metro Manila,Manila City (San Nicolas),Barangay 271,1010
Metro Manila,Manila City (San Nicolas),Barangay 272,1010
Metro Manila,Manila City (San Nicolas),Barangay 273,1010
Metro Manila,Manila City (San Nicolas),Barangay 274,1010
Metro Manila,Manila City (San Nicolas),Barangay 275,1010
Metro Manila,Manila City (San Nicolas),Barangay 276,1010
Metro Manila,Manila City (San Nicolas),Barangay 281,1010
Metro Manila,Manila City (San Nicolas),Barangay 282,1010
Metro Manila,Manila City (San Nicolas),Barangay 283,1010
Metro Manila,Manila City (San Nicolas),Barangay 284,1010
Metro Manila,Manila City (San Nicolas),Barangay 285,1010
Metro Manila,Manila City (San Nicolas),Barangay 286,1010
Metro Manila,Manila City (Santa Cruz),Barangay 297,1003
Metro Manila,Manila City (Santa Cruz),Barangay 298,1003
Metro Manila,Manila City (Santa Cruz),Barangay 299,1003
Metro Manila,Manila City (Santa Cruz),Barangay 300,1003
Metro Manila,Manila City (Santa Cruz),Barangay 301,1003
Metro Manila,Manila City (Santa Cruz),Barangay 302,1003
Metro Manila,Manila City (Santa Cruz),Barangay 303,1003
Metro Manila,Manila City (Santa Cruz),Barangay 304,1003
Metro Manila,Manila City (Santa Cruz),Barangay 305,1003
Metro Manila,Manila City (Santa Cruz),Barangay 310,1003
Metro Manila,Manila City (Santa Cruz),Barangay 311,1003
Metro Manila,Manila City (Santa Cruz),Barangay 312,1003
Metro Manila,Manila City (Santa Cruz),Barangay 313,1003
Metro Manila,Manila City (Santa Cruz),Barangay 314,1003
Metro Manila,Manila City (Santa Cruz),Barangay 315,1003
Metro Manila,Manila City (Santa Cruz),Barangay 316,1003
Metro Manila,Manila City (Santa Cruz),Barangay 317,1003
Metro Manila,Manila City (Santa Cruz),Barangay 318,1003
Metro Manila,Manila City (Santa Cruz),Barangay 319,1003
Metro Manila,Manila City (Santa Cruz),Barangay 320,1003
Metro Manila,Manila City (Santa Cruz),Barangay 321,1003
Metro Manila,Manila City (Santa Cruz),Barangay 322,1003
Metro Manila,Manila City (Santa Cruz),Barangay 323,1003
Metro Manila,Manila City (Santa Cruz),Barangay 324,1003
Metro Manila,Manila City (Santa Cruz),Barangay 325,1003
Metro Manila,Manila City (Santa Cruz),Barangay 326,1003
Metro Manila,Manila City (Santa Cruz),Barangay 327,1003
Metro Manila,Manila City (Santa Cruz),Barangay 328,1003
Metro Manila,Manila City (Santa Cruz),Barangay 329,1003
Metro Manila,Manila City (Santa Cruz),Barangay 330,1003
Metro Manila,Manila City (Santa Cruz),Barangay 331,1003
Metro Manila,Manila City (Santa Cruz),Barangay 332,1003
Metro Manila,Manila City (Santa Cruz),Barangay 333,1003
Metro Manila,Manila City (Santa Cruz),Barangay 334,1003
Metro Manila,Manila City (Santa Cruz),Barangay 335,1003
Metro Manila,Manila City (Santa Cruz),Barangay 336,1003
Metro Manila,Manila City (Santa Cruz),Barangay 337,1003
Metro Manila,Manila City (Santa Cruz),Barangay 338,1003
Metro Manila,Manila City (Santa Cruz),Barangay 339,1003
Metro Manila,Manila City (Santa Cruz),Barangay 340,1003
Metro Manila,Manila City (Santa Cruz),Barangay 341,1003
Metro Manila,Manila City (Santa Cruz),Barangay 342,1003
Metro Manila,Manila City (Santa Cruz),Barangay 343,1003
Metro Manila,Manila City (Santa Cruz),Barangay 344,1003
Metro Manila,Manila City (Santa Cruz),Barangay 345,1003
Metro Manila,Manila City (Santa Cruz),Barangay 346,1003
Metro Manila,Manila City (Santa Cruz),Barangay 347,1003
Metro Manila,Manila City (Santa Cruz),Barangay 348,1003
Metro Manila,Manila City (Santa Cruz),Barangay 349,1003
Metro Manila,Manila City (Santa Cruz),Barangay 350,1003
Metro Manila,Manila City (Santa Cruz),Barangay 351,1003
Metro Manila,Manila City (Santa Cruz),Barangay 352,1003
Metro Manila,Manila City (Santa Cruz),Barangay 353,1003
Metro Manila,Manila City (Santa Cruz),Barangay 354,1003
Metro Manila,Manila City (Santa Cruz),Barangay 355,1003
Metro Manila,Manila City (Santa Cruz),Barangay 356,1003
Metro Manila,Manila City (Santa Cruz),Barangay 357,1003
Metro Manila,Manila City (Santa Cruz),Barangay 358,1003
Metro Manila,Manila City (Santa Cruz),Barangay 359,1003
Metro Manila,Manila City (Santa Cruz),Barangay 360,1003
Metro Manila,Manila City (Santa Cruz),Barangay 361,1003
Metro Manila,Manila City (Santa Cruz),Barangay 362,1003
Metro Manila,Manila City (Santa Cruz),Barangay 363,1003
Metro Manila,Manila City (Santa Cruz),Barangay 364,1003
Metro Manila,Manila City (Santa Cruz),Barangay 365,1003
Metro Manila,Manila City (Santa Cruz),Barangay 366,1003
Metro Manila,Manila City (Santa Cruz),Barangay 367,1003
Metro Manila,Manila City (Santa Cruz),Barangay 368,1003
Metro Manila,Manila City (Santa Cruz),Barangay 369,1003
Metro Manila,Manila City (Santa Cruz),Barangay 370,1003
Metro Manila,Manila City (Santa Cruz),Barangay 371,1003
Metro Manila,Manila City (Santa Cruz),Barangay 372,1003
Metro Manila,Manila City (Santa Cruz),Barangay 373,1003
Metro Manila,Manila City (Santa Cruz),Barangay 374,1003
Metro Manila,Manila City (Santa Cruz),Barangay 375,1003
Metro Manila,Manila City (Santa Cruz),Barangay 376,1003
Metro Manila,Manila City (Santa Cruz),Barangay 377,1003
Metro Manila,Manila City (Santa Cruz),Barangay 378,1003
Metro Manila,Manila City (Santa Cruz),Barangay 379,1003
Metro Manila,Manila City (Santa Cruz),Barangay 380,1003
Metro Manila,Manila City (Santa Cruz),Barangay 381,1003
Metro Manila,Manila City (Santa Cruz),Barangay 382,1003
Metro Manila,Manila City (Sampaloc),Barangay 395,1008
Metro Manila,Manila City (Sampaloc),Barangay 396,1008
Metro Manila,Manila City (Sampaloc),Barangay 397,1008
Metro Manila,Manila City (Sampaloc),Barangay 398,1008
Metro Manila,Manila City (Sampaloc),Barangay 399,1008
Metro Manila,Manila City (Sampaloc),Barangay 400,1008
Metro Manila,Manila City (Sampaloc),Barangay 401,1008
Metro Manila,Manila City (Sampaloc),Barangay 402,1008
Metro Manila,Manila City (Sampaloc),Barangay 403,1008
Metro Manila,Manila City (Sampaloc),Barangay 404,1008
Metro Manila,Manila City (Sampaloc),Barangay 405,1008
Metro Manila,Manila City (Sampaloc),Barangay 406,1008
Metro Manila,Manila City (Sampaloc),Barangay 407,1008
Metro Manila,Manila City (Sampaloc),Barangay 408,1008
Metro Manila,Manila City (Sampaloc),Barangay 409,1008
Metro Manila,Manila City (Sampaloc),Barangay 410,1008
Metro Manila,Manila City (Sampaloc),Barangay 411,1008
Metro Manila,Manila City (Sampaloc),Barangay 412,1008
Metro Manila,Manila City (Sampaloc),Barangay 413,1008
Metro Manila,Manila City (Sampaloc),Barangay 414,1008
Metro Manila,Manila City (Sampaloc),Barangay 415,1008
Metro Manila,Manila City (Sampaloc),Barangay 416,1008
Metro Manila,Manila City (Sampaloc),Barangay 417,1008
Metro Manila,Manila City (Sampaloc),Barangay 418,1008
Metro Manila,Manila City (Sampaloc),Barangay 419,1008
Metro Manila,Manila City (Sampaloc),Barangay 420,1008
Metro Manila,Manila City (Sampaloc),Barangay 421,1008
Metro Manila,Manila City (Sampaloc),Barangay 422,1008
Metro Manila,Manila City (Sampaloc),Barangay 423,1008
Metro Manila,Manila City (Sampaloc),Barangay 424,1008
Metro Manila,Manila City (Sampaloc),Barangay 425,1008
Metro Manila,Manila City (Sampaloc),Barangay 426,1008
Metro Manila,Manila City (Sampaloc),Barangay 427,1008
Metro Manila,Manila City (Sampaloc),Barangay 428,1008
Metro Manila,Manila City (Sampaloc),Barangay 429,1008
Metro Manila,Manila City (Sampaloc),Barangay 430,1008
Metro Manila,Manila City (Sampaloc),Barangay 431,1008
Metro Manila,Manila City (Sampaloc),Barangay 432,1008
Metro Manila,Manila City (Sampaloc),Barangay 433,1008
Metro Manila,Manila City (Sampaloc),Barangay 434,1008
Metro Manila,Manila City (Sampaloc),Barangay 435,1008
Metro Manila,Manila City (Sampaloc),Barangay 436,1008
Metro Manila,Manila City (Sampaloc),Barangay 437,1008
Metro Manila,Manila City (Sampaloc),Barangay 438,1008
Metro Manila,Manila City (Sampaloc),Barangay 439,1008
Metro Manila,Manila City (Sampaloc),Barangay 440,1008
Metro Manila,Manila City (Sampaloc),Barangay 441,1008
Metro Manila,Manila City (Sampaloc),Barangay 442,1008
Metro Manila,Manila City (Sampaloc),Barangay 443,1008
Metro Manila,Manila City (Sampaloc),Barangay 444,1008
Metro Manila,Manila City (Sampaloc),Barangay 445,1008
Metro Manila,Manila City (Sampaloc),Barangay 446,1008
Metro Manila,Manila City (Sampaloc),Barangay 447,1008
Metro Manila,Manila City (Sampaloc),Barangay 448,1008
Metro Manila,Manila City (Sampaloc),Barangay 449,1008
Metro Manila,Manila City (Sampaloc),Barangay 450,1008
Metro Manila,Manila City (Sampaloc),Barangay 451,1008
Metro Manila,Manila City (Sampaloc),Barangay 452,1008
Metro Manila,Manila City (Sampaloc),Barangay 453,1008
Metro Manila,Manila City (Sampaloc),Barangay 454,1008
Metro Manila,Manila City (Sampaloc),Barangay 455,1008
Metro Manila,Manila City (Sampaloc),Barangay 456,1008
Metro Manila,Manila City (Sampaloc),Barangay 457,1008
Metro Manila,Manila City (Sampaloc),Barangay 458,1008
Metro Manila,Manila City (Sampaloc),Barangay 459,1008
Metro Manila,Manila City (Sampaloc),Barangay 460,1008
Metro Manila,Manila City (Sampaloc),Barangay 461,1008
Metro Manila,Manila City (Sampaloc),Barangay 462,1008
Metro Manila,Manila City (Sampaloc),Barangay 463,1008
Metro Manila,Manila City (Sampaloc),Barangay 464,1008
Metro Manila,Manila City (Sampaloc),Barangay 465,1008
Metro Manila,Manila City (Sampaloc),Barangay 466,1008
Metro Manila,Manila City (Sampaloc),Barangay 467,1008
Metro Manila,Manila City (Sampaloc),Barangay 468,1008
Metro Manila,Manila City (Sampaloc),Barangay 469,1008
Metro Manila,Manila City (Sampaloc),Barangay 470,1008
Metro Manila,Manila City (Sampaloc),Barangay 471,1008
Metro Manila,Manila City (Sampaloc),Barangay 472,1008
Metro Manila,Manila City (Sampaloc),Barangay 473,1008
Metro Manila,Manila City (Sampaloc),Barangay 474,1008
Metro Manila,Manila City (Sampaloc),Barangay 475,1008
Metro Manila,Manila City (Sampaloc),Barangay 476,1008
Metro Manila,Manila City (Sampaloc),Barangay 477,1008
Metro Manila,Manila City (Sampaloc),Barangay 478,1008
Metro Manila,Manila City (Sampaloc),Barangay 479,1008
Metro Manila,Manila City (Sampaloc),Barangay 480,1008
Metro Manila,Manila City (Sampaloc),Barangay 481,1008
Metro Manila,Manila City (Sampaloc),Barangay 482,1008
Metro Manila,Manila City (Sampaloc),Barangay 483,1008
Metro Manila,Manila City (Sampaloc),Barangay 484,1008
Metro Manila,Manila City (Sampaloc),Barangay 485,1008
Metro Manila,Manila City (Sampaloc),Barangay 486,1008
Metro Manila,Manila City (Sampaloc),Barangay 487,1008
Metro Manila,Manila City (Sampaloc),Barangay 488,1008
Metro Manila,Manila City (Sampaloc),Barangay 489,1008
Metro Manila,Manila City (Sampaloc),Barangay 490,1008
Metro Manila,Manila City (Sampaloc),Barangay 491,1008
Metro Manila,Manila City (Sampaloc),Barangay 492,1008
Metro Manila,Manila City (Sampaloc),Barangay 493,1008
Metro Manila,Manila City (Sampaloc),Barangay 494,1008
Metro Manila,Manila City (Sampaloc),Barangay 495,1008
Metro Manila,Manila City (Sampaloc),Barangay 496,1008
Metro Manila,Manila City (Sampaloc),Barangay 497,1008
Metro Manila,Manila City (Sampaloc),Barangay 498,1008
Metro Manila,Manila City (Sampaloc),Barangay 499,1008
Metro Manila,Manila City (Sampaloc),Barangay 500,1008
Metro Manila,Manila City (Sampaloc),Barangay 501,1008
Metro Manila,Manila City (Sampaloc),Barangay 502,1008
Metro Manila,Manila City (Sampaloc),Barangay 503,1008
Metro Manila,Manila City (Sampaloc),Barangay 504,1008
Metro Manila,Manila City (Sampaloc),Barangay 505,1008
Metro Manila,Manila City (Sampaloc),Barangay 506,1008
Metro Manila,Manila City (Sampaloc),Barangay 507,1008
Metro Manila,Manila City (Sampaloc),Barangay 508,1008
Metro Manila,Manila City (Sampaloc),Barangay 509,1008
Metro Manila,Manila City (Sampaloc),Barangay 510,1008
